Date,1m-Libor,EWJ,GLD,MUB,VNQ,DBA,EWL,GOVT,QQQ,VNQI,EWA,EWQ,GWX,SPY,VWO,EWC,EWT,HYEM,TIP,VWOB,EWG,EWU,HYG,UNG,WIP,EWH,EWY,IWM,USO
12/12/2017,1.47195,56.3002739,118.1500015,100.9928589,72.24676514,17.71910095,32.23373795,23.37167168,151.4037323,51.17626572,19.47365761,28.93131828,31.05037117,248.5174561,39.78903198,26.73698807,32.78516006,19.47534943,103.4139709,67.15425873,30.13215637,30.35912132,71.8194809,21.44000053,49.84240341,22.33959198,69.18360901,143.5780334,91.51999664
12/13/2017,1.47703,56.52581787,119.1699982,101.3496017,72.36654663,17.77754784,32.36296844,23.45547104,151.6955109,51.65675735,19.76367188,28.92206573,31.29227638,248.4895477,40.22201538,26.81023788,33.06476212,19.4833107,103.595871,67.32197571,30.1412735,30.53127098,71.8605957,21.44000053,50.13209915,22.6133213,70.30006409,144.4344788,90.63999939
12/14/2017,1.49078,56.26268387,118.9300003,101.4228058,72.34945679,17.76780701,32.31681442,23.45547104,151.588501,51.49659729,19.7124939,28.61664963,31.326828,247.4741669,39.96944427,26.72782898,32.93848801,19.47534943,103.595871,67.36388397,29.96814919,30.45380402,71.71257019,21.36000061,50.11453629,22.34842491,69.84418488,142.8357697,91.44000244
12/15/2017,1.495,56.29088211,119.1800003,101.3221817,72.80295563,17.85547638,32.39065933,23.45547104,153.3097839,51.47973251,19.73808479,28.63516045,31.35322762,249.5350647,40.0776825,26.55385971,32.98358536,19.53902817,103.595871,67.47288513,30.09570885,30.4021492,71.72079468,20.87999916,50.19354248,22.41023445,69.86278534,144.8722382,91.68000031
12/18/2017,1.50113,56.96749878,119.7300034,101.1483917,73.28214264,17.87495995,32.69527054,23.41823006,154.5951385,51.80849075,19.87456131,28.99610519,31.56254959,251.1173401,40.49263,26.72782898,33.082798,19.49127197,103.4139709,67.43936157,30.56040764,30.73785782,71.79481506,21.68000031,50.36910248,22.58683205,70.2349472,146.8325195,91.51999664
12/19/2017,1.51113,56.38950729,119.8199997,100.837326,71.72477722,17.8944416,32.5291214,23.33442688,153.6790771,51.54152679,19.83873177,28.98218346,31.51704597,250.1529236,40.38437653,26.69908142,32.73862076,19.4833107,103.1046753,67.3555069,30.5549221,30.68610764,71.64680481,21.44000053,50.15433502,22.50238037,69.79042816,145.6715698,92.08000183
12/20/2017,1.53488,56.46518326,120.1399994,100.6177979,70.8947525,17.97237206,32.27989197,23.26924706,153.5134125,51.37630463,19.83873177,28.8893528,31.55344772,250.0218201,40.43851089,26.81036568,32.94271469,19.51514053,102.7590408,67.30521393,30.2808857,30.67734337,71.70435333,20.92000008,50.22533417,22.5568676,70.02992249,145.9570618,92.87999725
12/21/2017,1.55213,56.50302124,120.3099976,100.780014,70.62016296,17.99185181,32.48296356,23.29349327,153.5329285,51.53282166,19.9785614,28.97290039,31.62625885,250.5367889,40.83909988,27.0329361,32.86850357,19.50718689,103.0286789,67.32197571,30.29915428,30.87904739,71.77948761,20.55999947,50.31407547,22.68399429,68.92822266,146.5960846,93.12000275
12/22/2017,1.56375,56.76789474,120.9400024,100.8166504,71.10678101,17.93340492,32.48296356,23.27483749,153.3574982,51.86327362,20.0746994,28.95433426,31.79917526,250.4712982,41.17444611,27.05148506,33.21174622,19.57085609,103.0924225,67.40581512,30.23521423,30.98429108,71.84555817,21,50.32295609,22.8202095,69.52218628,146.3286285,93.27999878
12/26/2017,1.56375,56.79627609,121.7699966,100.9724426,71.46305084,18.08926392,32.44604492,23.31214333,152.5292053,51.94153976,20.0746994,28.98218346,31.89019394,250.1716614,41.21975327,27.13494873,32.80356216,19.57085609,103.1834717,67.4933548,30.23521423,30.97551346,71.95292664,20.87999916,50.57146454,22.80204964,69.26353455,146.4145813,95.59999847
